Date,Mkt-RF,SMB,HML,RF,Mom   
1970-03-24 00:00:00+00:00,0.0101,-0.0051,-0.0043,0.00027000000000000006,0.004
1970-03-25 00:00:00+00:00,0.021400000000000002,0.0012,-0.0051,0.00027000000000000006,-0.0089
1970-03-26 00:00:00+00:00,0.001,0.003,-0.0008,0.00027000000000000006,-0.0002
1970-03-30 00:00:00+00:00,-0.0028000000000000004,0.001,-0.0031,0.00027000000000000006,0.0037
1970-03-31 00:00:00+00:00,-0.0005,-0.0002,0.0011,0.00027000000000000006,0.0066
1970-04-01 00:00:00+00:00,0.0045000000000000005,-0.0007000000000000001,0.0002,0.00023,-0.0004
1970-04-02 00:00:00+00:00,-0.0039000000000000003,0.0011,0.0011,0.00023,-0.0006
1970-04-03 00:00:00+00:00,-0.0049,0.0001,0.009899999999999999,0.00023,-0.0043
1970-04-06 00:00:00+00:00,-0.0083,-0.0028000000000000004,0.0116,0.00023,-0.0023
1970-04-07 00:00:00+00:00,-0.0036,-0.0012,0.0058,0.00023,0.0042
1970-04-08 00:00:00+00:00,-0.0019,-0.0024,0.0009,0.00023,0.0024
1970-04-09 00:00:00+00:00,-0.001,-0.006500000000000001,0.0043,0.00023,-0.0001
1970-04-10 00:00:00+00:00,-0.0044,-0.0040999999999999995,-0.0029,0.00023,0.0011
1970-04-13 00:00:00+00:00,-0.009000000000000001,-0.0087,0.0105,0.00023,0.0014000000000000002
1970-04-14 00:00:00+00:00,-0.0086,-0.0053,0.0034999999999999996,0.00023,0.0004
1970-04-15 00:00:00+00:00,-0.0031,-0.002,0.0029,0.00023,-0.0027
1970-04-16 00:00:00+00:00,-0.011399999999999999,-0.0029,0.006999999999999999,0.00023,-0.0012
1970-04-17 00:00:00+00:00,-0.0033,-0.0025,0.001,0.00023,-0.0026
1970-04-20 00:00:00+00:00,0.0022,0.0,-0.0055000000000000005,0.00023,0.004699999999999999
1970-04-21 00:00:00+00:00,-0.005699999999999999,-0.0031,0.0068000000000000005,0.00023,0.005699999999999999
1970-04-22 00:00:00+00:00,-0.0148,-0.0060999999999999995,0.0108,0.00023,-0.0011
1970-04-23 00:00:00+00:00,-0.0165,-0.0064,0.0054,0.00023,0.0012
1970-04-24 00:00:00+00:00,-0.0051,-0.0052,0.0017000000000000001,0.00023,-0.0001
1970-04-27 00:00:00+00:00,-0.0184,-0.0087,0.0092,0.00023,0.0033
1970-04-28 00:00:00+00:00,-0.0147,-0.0060999999999999995,0.0058,0.00023,0.0032
1970-04-29 00:00:00+00:00,0.021099999999999997,0.0015,-0.022799999999999997,0.00023,-0.0048
1970-04-30 00:00:00+00:00,-0.004,0.0018,0.0063,0.00023,0.0033
1970-05-01 00:00:00+00:00,-0.0014000000000000002,-0.0002,0.0018,0.00025,0.0006
1970-05-04 00:00:00+00:00,-0.026000000000000002,-0.0040999999999999995,0.0179,0.00025,0.0015
1970-05-05 00:00:00+00:00,-0.0113,-0.0054,0.006,0.00025,-0.0023
1970-05-06 00:00:00+00:00,0.012,0.0037,-0.009300000000000001,0.00025,-0.0048
1970-05-07 00:00:00+00:00,0.0059,0.0003,-0.001,0.00025,-0.0001
1970-05-08 00:00:00+00:00,-0.0052,-0.0002,0.0027,0.00025,-0.0002
1970-05-11 00:00:00+00:00,-0.0111,-0.0003,0.0064,0.00025,0.0032
1970-05-12 00:00:00+00:00,-0.009300000000000001,-0.0021,0.0055000000000000005,0.00025,-0.0026
1970-05-13 00:00:00+00:00,-0.0176,-0.0051,0.01,0.00025,0.0022
1970-05-14 00:00:00+00:00,-0.015300000000000001,-0.0088,0.0064,0.00025,0.0037
1970-05-15 00:00:00+00:00,0.0183,-0.0033,-0.0096,0.00025,-0.008199999999999999
1970-05-18 00:00:00+00:00,0.0013,-0.001,0.002,0.00025,0.0007000000000000001
1970-05-19 00:00:00+00:00,-0.020099999999999996,-0.0015,0.013300000000000001,0.00025,0.003
1970-05-20 00:00:00+00:00,-0.026600000000000002,-0.0053,0.0168,0.00025,0.0018
1970-05-21 00:00:00+00:00,-0.020099999999999996,-0.0096,0.0105,0.00025,0.0059
1970-05-22 00:00:00+00:00,-0.0015,-0.0068000000000000005,-0.0066,0.00025,0.0004
1970-05-25 00:00:00+00:00,-0.0321,-0.0163,0.0175,0.00025,0.0116
1970-05-26 00:00:00+00:00,-0.0132,-0.0053,0.0062,0.00025,-0.0040999999999999995
1970-05-27 00:00:00+00:00,0.053,0.0134,-0.0374,0.00025,-0.0327
1970-05-28 00:00:00+00:00,0.0263,0.01,-0.012,0.00025,-0.0069
1970-05-29 00:00:00+00:00,0.027000000000000003,0.0013,-0.013300000000000001,0.00025,-0.0098
1970-06-01 00:00:00+00:00,0.0183,0.0106,-0.0172,0.00026000000000000003,-0.0014000000000000002
1970-06-02 00:00:00+00:00,0.0012,0.005600000000000001,-0.0037,0.00026000000000000003,-0.0025
1970-06-03 00:00:00+00:00,0.0111,0.0088,-0.0092,0.00026000000000000003,-0.0172
1970-06-04 00:00:00+00:00,-0.0158,-0.0025,0.0137,0.00026000000000000003,0.0149
1970-06-05 00:00:00+00:00,-0.017,-0.0033,0.0034000000000000002,0.00026000000000000003,0.0139
1970-06-08 00:00:00+00:00,0.001,0.0001,0.0012,0.00026000000000000003,-0.0036
1970-06-09 00:00:00+00:00,0.0001,-0.0001,-0.0048,0.00026000000000000003,0.0015
1970-06-10 00:00:00+00:00,-0.0103,0.0,0.0024,0.00026000000000000003,0.0070999999999999995
1970-06-11 00:00:00+00:00,-0.014199999999999999,-0.0023,0.0103,0.00026000000000000003,0.0062
1970-06-12 00:00:00+00:00,-0.0042,-0.0031,-0.0025,0.00026000000000000003,0.0039000000000000003
1970-06-15 00:00:00+00:00,0.003,0.0013,-0.0051,0.00026000000000000003,-0.0013
1970-06-16 00:00:00+00:00,0.022799999999999997,-0.004699999999999999,-0.0128,0.00026000000000000003,-0.0019
1970-06-17 00:00:00+00:00,-0.0027,-0.0012,0.0058,0.00026000000000000003,0.0063
1970-06-18 00:00:00+00:00,0.005600000000000001,-0.0034000000000000002,-0.0069,0.00026000000000000003,0.0068000000000000005
1970-06-19 00:00:00+00:00,0.0066,-0.0019,-0.0004,0.00026000000000000003,0.0029
1970-06-22 00:00:00+00:00,-0.0067,-0.0013,0.0015,0.00026000000000000003,0.013000000000000001
1970-06-23 00:00:00+00:00,-0.024900000000000002,0.0,0.012,0.00026000000000000003,0.0181
1970-06-24 00:00:00+00:00,-0.0115,-0.008100000000000001,0.0059,0.00026000000000000003,0.005600000000000001
1970-06-25 00:00:00+00:00,-0.0005,-0.005699999999999999,-0.0005,0.00026000000000000003,0.0015
1970-06-26 00:00:00+00:00,-0.008199999999999999,-0.0017000000000000001,0.0046,0.00026000000000000003,0.005699999999999999
1970-06-29 00:00:00+00:00,-0.0087,-0.0034000000000000002,0.0028000000000000004,0.00026000000000000003,0.005600000000000001
1970-06-30 00:00:00+00:00,-0.003,-0.005699999999999999,0.0055000000000000005,0.00026000000000000003,0.0054
1970-07-01 00:00:00+00:00,0.0033,-0.005600000000000001,-0.0025,0.00024,0.0086
1970-07-02 00:00:00+00:00,-0.0026,-0.0049,0.0053,0.00024,0.0045000000000000005
1970-07-06 00:00:00+00:00,-0.0158,-0.0028000000000000004,0.008199999999999999,0.00024,0.008
1970-07-07 00:00:00+00:00,-0.0087,-0.0034000000000000002,0.0016,0.00024,0.0049
1970-07-08 00:00:00+00:00,0.023799999999999998,-0.0066,-0.0129,0.00024,-0.0068000000000000005
1970-07-09 00:00:00+00:00,0.0161,0.0019,-0.0002,0.00024,-0.0064
1970-07-10 00:00:00+00:00,0.0070999999999999995,0.0003,0.0017000000000000001,0.00024,0.0022
1970-07-13 00:00:00+00:00,-0.0007000000000000001,0.0017000000000000001,0.0075,0.00024,-0.001
1970-07-14 00:00:00+00:00,-0.0015,-0.0016,-0.0024,0.00024,0.0037
1970-07-15 00:00:00+00:00,0.0098,-0.003,-0.0024,0.00024,-0.0027
1970-07-16 00:00:00+00:00,0.013300000000000001,-0.0031,0.0013,0.00024,-0.0033
1970-07-17 00:00:00+00:00,0.0167,-0.0008,0.0012,0.00024,-0.0167
1970-07-20 00:00:00+00:00,0.0013,0.0024,0.0045000000000000005,0.00024,-0.004
1970-07-21 00:00:00+00:00,-0.0101,0.0001,0.0028000000000000004,0.00024,0.0038
1970-07-22 00:00:00+00:00,0.0012,0.0054,0.0009,0.00024,-0.0019
1970-07-23 00:00:00+00:00,0.012199999999999999,-0.004,-0.0019,0.00024,-0.0059
1970-07-24 00:00:00+00:00,-0.0023,0.0058,-0.0015,0.00024,-0.0029
1970-07-27 00:00:00+00:00,-0.0019,0.0034999999999999996,0.0023,0.00024,-0.002
1970-07-28 00:00:00+00:00,0.0026,0.0021,-0.0036,0.00024,-0.0097
1970-07-29 00:00:00+00:00,0.0037,0.0048,-0.0034000000000000002,0.00024,-0.003
1970-07-30 00:00:00+00:00,0.0006,0.0013,-0.0019,0.00024,0.0008
1970-07-31 00:00:00+00:00,-0.0006,0.0013,0.0044,0.00024,0.0
1970-08-03 00:00:00+00:00,-0.012199999999999999,0.002,0.0048,0.00025,0.0059
1970-08-04 00:00:00+00:00,0.0017000000000000001,-0.0028000000000000004,-0.0012,0.00025,-0.0038
1970-08-05 00:00:00+00:00,-0.0008,-0.0009,0.0019,0.00025,0.0026
1970-08-06 00:00:00+00:00,-0.0018,-0.004,0.004699999999999999,0.00025,0.0
1970-08-07 00:00:00+00:00,0.0026,-0.0019,0.0043,0.00025,-0.0033
1970-08-10 00:00:00+00:00,-0.0144,0.0001,0.0042,0.00025,0.0087
1970-08-11 00:00:00+00:00,-0.005699999999999999,-0.0021,0.0033,0.00025,0.0034000000000000002
1970-08-12 00:00:00+00:00,-0.0049,0.0012,0.0066,0.00025,0.0006
1970-08-13 00:00:00+00:00,-0.009000000000000001,0.0008,0.0076,0.00025,-0.0014000000000000002
1970-08-14 00:00:00+00:00,0.0040999999999999995,-0.0031,0.0014000000000000002,0.00025,0.0014000000000000002
1970-08-17 00:00:00+00:00,0.0017000000000000001,-0.0025,-0.0051,0.00025,0.0002
1970-08-18 00:00:00+00:00,0.0106,-0.0052,-0.0018,0.00025,-0.0052
1970-08-19 00:00:00+00:00,0.009000000000000001,-0.0055000000000000005,0.0038,0.00025,-0.0040999999999999995
1970-08-20 00:00:00+00:00,0.0075,-0.0075,0.0004,0.00025,-0.0062
1970-08-21 00:00:00+00:00,0.0209,-0.0017000000000000001,-0.0017000000000000001,0.00025,-0.0118
1970-08-24 00:00:00+00:00,0.023399999999999997,0.0066,-0.014199999999999999,0.00025,-0.0111
1970-08-25 00:00:00+00:00,0.0038,0.0098,-0.008199999999999999,0.00025,-0.012199999999999999
1970-08-26 00:00:00+00:00,0.0031,0.0095,-0.0007000000000000001,0.00025,-0.0158
1970-08-27 00:00:00+00:00,-0.0012,0.0079,-0.0001,0.00025,-0.0054
1970-08-28 00:00:00+00:00,0.009899999999999999,0.0069,-0.0025,0.00025,-0.0128
1970-08-31 00:00:00+00:00,-0.0034999999999999996,0.0070999999999999995,0.0026,0.00025,-0.0023
1970-09-01 00:00:00+00:00,-0.0064,0.0004,0.003,0.00025,0.0064
1970-09-02 00:00:00+00:00,-0.0002,0.0037,-0.004,0.00025,-0.0055000000000000005
1970-09-03 00:00:00+00:00,0.0146,0.0021,-0.0089,0.00025,-0.0143
1970-09-04 00:00:00+00:00,0.010700000000000001,0.0068000000000000005,0.0,0.00025,-0.0181
1970-09-08 00:00:00+00:00,0.0036,0.0067,-0.0066,0.00025,-0.016399999999999998
1970-09-09 00:00:00+00:00,-0.003,0.0023,-0.0016,0.00025,0.0063
1970-09-10 00:00:00+00:00,-0.0058,0.0032,0.002,0.00025,0.005600000000000001
1970-09-11 00:00:00+00:00,0.0034999999999999996,0.01,-0.0029,0.00025,-0.0139
1970-09-14 00:00:00+00:00,-0.0051,0.001,0.0018,0.00025,0.0060999999999999995
1970-09-15 00:00:00+00:00,-0.0098,-0.0028000000000000004,-0.0013,0.00025,0.0104
1970-09-16 00:00:00+00:00,0.005699999999999999,0.0042,-0.0067,0.00025,-0.012199999999999999
1970-09-17 00:00:00+00:00,0.008,0.0070999999999999995,-0.006999999999999999,0.00025,-0.011200000000000002
1970-09-18 00:00:00+00:00,0.0044,0.0059,0.001,0.00025,-0.008
1970-09-21 00:00:00+00:00,-0.0084,-0.0012,0.0032,0.00025,0.011899999999999999
1970-09-22 00:00:00+00:00,-0.0036,-0.0009,-0.0002,0.00025,0.0036
1970-09-23 00:00:00+00:00,0.013500000000000002,0.0021,-0.0064,0.00025,-0.0085
1970-09-24 00:00:00+00:00,0.0143,0.013999999999999999,-0.0137,0.00025,-0.0175
1970-09-25 00:00:00+00:00,0.0017000000000000001,0.0013,-0.0001,0.00025,-0.0007000000000000001
1970-09-28 00:00:00+00:00,-0.0006,0.0069,-0.0052,0.00025,-0.0029
1970-09-29 00:00:00+00:00,0.0058,0.0077,-0.0003,0.00025,-0.0078000000000000005
1970-09-30 00:00:00+00:00,-0.0012,-0.0002,0.0034999999999999996,0.00025,0.0058
1970-10-01 00:00:00+00:00,0.0012,-0.0026,-0.0011,0.00021,0.0016
1970-10-02 00:00:00+00:00,0.0105,0.0040999999999999995,-0.003,0.00021,-0.0115
1970-10-05 00:00:00+00:00,0.0144,-0.0016,0.0002,0.00021,-0.003
1970-10-06 00:00:00+00:00,0.0023,-0.0087,0.0085,0.00021,0.0123
1970-10-07 00:00:00+00:00,-0.0003,0.002,0.0008,0.00021,0.0007000000000000001
1970-10-08 00:00:00+00:00,-0.0115,-0.0038,0.0048,0.00021,0.0187
1970-10-09 00:00:00+00:00,-0.0097,0.0033,0.0007000000000000001,0.00021,0.0058
1970-10-12 00:00:00+00:00,-0.0098,0.0,0.0036,0.00021,0.0055000000000000005
1970-10-13 00:00:00+00:00,-0.0026,0.0005,-0.0034999999999999996,0.00021,0.004
1970-10-14 00:00:00+00:00,0.0013,-0.0021,-0.0005,0.00021,0.0040999999999999995
1970-10-15 00:00:00+00:00,0.0040999999999999995,-0.004699999999999999,0.0025,0.00021,0.0044
1970-10-16 00:00:00+00:00,-0.006,-0.0063,0.0058,0.00021,0.0121
1970-10-19 00:00:00+00:00,-0.0141,-0.0046,0.0062,0.00021,0.0138
1970-10-20 00:00:00+00:00,0.005699999999999999,-0.0034999999999999996,-0.010700000000000001,0.00021,-0.0034999999999999996
1970-10-21 00:00:00+00:00,-0.0008,-0.0027,0.0013,0.00021,0.0051
1970-10-22 00:00:00+00:00,-0.0043,-0.0028000000000000004,0.0013,0.00021,0.009000000000000001
1970-10-23 00:00:00+00:00,0.0049,0.0016,-0.0051,0.00021,0.0033
1970-10-26 00:00:00+00:00,-0.0053,0.0015,-0.0009,0.00021,0.0079
1970-10-27 00:00:00+00:00,-0.003,-0.003,-0.0013,0.00021,0.0055000000000000005
1970-10-28 00:00:00+00:00,0.0032,-0.0034000000000000002,-0.0087,0.00021,-0.0044
1970-10-29 00:00:00+00:00,-0.0018,-0.004,0.0026,0.00021,0.008199999999999999
1970-10-30 00:00:00+00:00,-0.0007000000000000001,-0.0027,-0.001,0.00021,0.0038
1970-11-02 00:00:00+00:00,0.0032,-0.0007000000000000001,-0.0017000000000000001,0.00023,-0.002
1970-11-03 00:00:00+00:00,0.0085,0.0025,0.0033,0.00023,-0.0053
1970-11-04 00:00:00+00:00,0.0018,-0.0029,0.002,0.00023,0.0068000000000000005
1970-11-05 00:00:00+00:00,-0.002,-0.0018,0.0007000000000000001,0.00023,0.0062
1970-11-06 00:00:00+00:00,0.0009,-0.0032,0.0024,0.00023,0.0028000000000000004
1970-11-09 00:00:00+00:00,0.005,-0.0023,-0.0024,0.00023,-0.0028000000000000004
1970-11-10 00:00:00+00:00,0.0015,-0.0001,-0.0008,0.00023,0.0007000000000000001
1970-11-11 00:00:00+00:00,0.0027,-0.0007000000000000001,0.0036,0.00023,0.0025
1970-11-12 00:00:00+00:00,-0.0111,-0.0069,0.0043,0.00023,0.0097
1970-11-13 00:00:00+00:00,-0.0096,-0.0027,0.0026,0.00023,0.0067
1970-11-16 00:00:00+00:00,-0.0017000000000000001,-0.0039000000000000003,-0.0021,0.00023,0.0021
1970-11-17 00:00:00+00:00,0.0005,-0.0034000000000000002,0.0025,0.00023,0.0054
1970-11-18 00:00:00+00:00,-0.0077,-0.0070999999999999995,0.0032,0.00023,0.0096
1970-11-19 00:00:00+00:00,0.0009,-0.0045000000000000005,-0.0019,0.00023,0.0019
