,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,cash
2003-03-20,102924.0,102466.44,103530.3,102565.92,103167.9,102229.4,102075.85,102150.56,104152.86,48152.6849013
2003-03-21,105554.54,101918.52,105423.92,106007.58,103358.64,104505.38,103782.93,104438.8,105787.96,48769.7045401
2003-03-24,100230.34,100878.75,101630.88,101651.85,101028.65,101963.75,101677.95,101284.84,100905.35,48567.0565638
2003-03-25,101111.77,101460.0,102125.0,102451.72,103019.98,102017.5,101545.16,103131.63,102809.23,48144.3445444
2003-03-26,101561.1,102200.9,101911.6,102572.73,102332.16,101792.53,100263.46,101590.42,102163.6,48405.3432266
2003-03-27,101066.08,101722.0,101335.36,102277.76,101296.67,102007.85,101622.3,101881.84,101906.74,47678.7176481
2003-03-28,102235.64,101651.76,101399.76,101533.5,100180.5,101250.0,101103.32,101822.01,100514.4,48021.6239885
2003-03-31,99693.12,99190.08,98921.4,100454.51,99025.2,100929.28,100076.76,99719.04,100057.46,47143.3476254
2003-04-01,101711.17,100854.08,101925.73,101678.94,100161.34,100287.18,100247.3,100641.68,100658.7,47229.1086651
2003-04-02,103313.04,103035.29,102895.02,103423.32,103004.34,102910.5,101441.76,102620.17,103374.15,48447.7899775
2003-04-03,102219.54,101144.34,102496.68,102800.0,102076.48,102258.96,102249.5,102790.24,102833.28,48539.6348409
2003-04-04,102324.6,103038.78,102709.75,102355.25,102091.68,103071.8,103467.1,102769.49,102836.6,48580.6607548
2003-04-07,103218.5,103767.4,102735.85,102757.4,101709.64,102900.0,103018.3,102364.79,102762.4,49717.3298972
2003-04-08,102530.02,102111.4,103133.11,102370.56,102335.5,102760.49,101669.76,102887.12,103233.6,48547.828339
2003-04-09,100759.34,102262.34,101224.5,101725.96,100254.1,101439.8,101726.46,101305.4,101840.2,48589.6284779
2003-04-10,101567.9,102126.08,101492.04,102138.3,101954.48,101679.48,102457.3,101881.26,103139.95,48100.3188113
2003-04-11,101145.35,102479.85,101891.9,101355.02,101201.43,102376.12,102203.12,101603.32,100639.5,48717.287066
2003-04-14,103118.34,102700.84,103528.36,103610.52,104125.1,103545.75,103084.8,103191.02,104560.4,48315.1385784
2003-04-15,105606.39,103684.15,104513.5,104295.0,103670.63,103439.28,104100.48,102952.9,104565.3,48919.9177117
2003-04-16,102717.6,102873.16,102169.95,102887.17,102795.1,102953.45,103523.2,102677.13,101958.27,49310.6898802
2003-04-17,103941.6,105122.2,104583.6,104683.41,105275.2,104400.6,103403.6,103272.8,105180.48,48721.42014
2003-04-21,104069.55,104606.97,104423.22,103469.44,103626.0,103730.16,104888.28,103751.2,104625.46,49604.7026907
2003-04-22,106522.9,105361.2,107212.2,106575.56,106944.11,106017.84,105139.39,105905.05,106613.09,49162.6042292
2003-04-23,107731.2,106220.0,107372.88,106892.6,107152.5,106469.28,106589.19,106142.82,106956.04,50343.5241596
2003-04-24,105417.39,105568.06,106119.12,105986.88,106251.6,106235.85,106637.23,107159.56,106602.92,50342.2864309
2003-04-25,104785.99,105417.6,104927.76,105504.38,104751.02,104882.28,105147.04,104350.35,104540.88,50107.3989265
2003-04-28,106659.15,105556.5,106807.94,107217.69,106983.4,106039.52,106246.85,106666.01,107001.99,49995.54469
2003-04-29,107137.62,105938.22,106481.0,106654.46,106701.69,107177.52,106373.52,107667.6,107304.0,50809.0293038
2003-04-30,107674.92,107286.24,106805.6,107547.6,106895.16,107091.12,107100.0,107143.2,106917.29,50752.7010385
2003-05-01,106962.5,106307.2,107689.6,106411.84,107450.8,107055.5,106752.66,107121.6,106703.56,50448.3419892
2003-05-02,108279.36,108106.0,108937.91,108186.24,108568.92,108594.13,107022.51,108803.2,108610.4,50862.48493
2003-05-05,108352.68,108558.48,108061.5,108012.3,107832.48,108097.27,108422.72,108029.46,108453.35,51351.3002107
2003-05-06,108810.24,108006.6,108906.94,108615.6,109643.1,109014.87,108299.62,108644.26,109106.32,51419.4863984
2003-05-07,108379.2,109120.8,108528.42,108326.92,107962.75,108180.08,107917.7,108054.7,109243.68,51283.3824188
2003-05-08,107539.6,108382.56,107477.86,107488.31,107551.6,107598.33,107973.58,107361.75,107941.14,51049.1680997
2003-05-09,109437.73,108609.48,108753.9,110059.95,109148.16,109652.92,108240.0,108669.44,109225.85,51219.5905686
2003-05-12,110712.98,109293.7,110408.2,110448.71,110555.04,109709.04,109833.6,109987.7,111183.15,51539.0067543
2003-05-13,109941.28,111035.75,109466.49,110090.94,110222.56,109646.2,110297.97,109753.5,110211.02,51956.9749315
2003-05-14,109782.4,110285.5,109753.59,109961.7,109556.16,109433.58,109964.75,109703.2,109480.0,52062.7222366
2003-05-15,110615.14,110896.67,110529.25,110973.8,109774.63,110278.08,111227.18,110514.56,110394.96,52340.9049059
2003-05-16,110534.21,110495.56,111114.72,110289.6,110286.0,109901.0,111920.27,110245.2,111058.19,52346.8378691
2003-05-19,108488.1,109114.55,108249.4,108398.08,106895.7,109285.69,109705.25,106701.6,106265.52,51989.0381776
2003-05-20,107803.8,107972.92,108505.8,108656.6,108532.12,108557.28,108826.48,108703.84,106930.0,51399.5836189
2003-05-21,108768.66,110672.95,108808.48,108145.6,108392.0,108873.72,108283.54,108727.92,108964.24,51096.7194616
2003-05-22,110459.49,109270.8,109250.4,110160.0,109854.09,110050.5,109888.8,109729.0,110175.9,51605.2252259
2003-05-23,110300.1,110563.66,110305.92,110102.72,110316.9,109610.84,111982.01,109989.1,110123.0,51953.2144989
2003-05-27,112387.38,111930.0,112674.25,113207.4,113253.84,111385.11,111472.5,112222.32,113157.8,52220.6073292
2003-05-28,112285.44,111528.72,112552.96,112118.64,112437.45,112737.45,112259.0,112472.36,111916.7,53370.6599553
2003-05-29,111212.75,111715.47,111514.48,111223.44,112475.01,111636.4,110279.19,111328.56,111395.9,53361.8825663
2003-05-30,113919.24,113538.24,113283.0,113988.28,112412.4,113205.96,112169.88,113609.61,112949.76,53318.8241962
2003-06-02,114125.06,113870.47,114083.58,114463.2,112691.6,113213.1,113680.8,112470.8,114081.76,53871.0862399
2003-06-03,113428.45,114976.02,113514.8,114106.59,114613.38,114627.18,114858.72,113975.82,113297.8,53877.7704838
2003-06-04,115988.52,114844.85,115832.96,116045.56,116309.52,115212.72,115757.2,115901.04,115747.73,54198.2100053
2003-06-05,115521.68,115437.82,116006.4,115654.76,116726.4,115019.99,114492.5,117224.36,116244.48,54459.068909
2003-06-06,115915.8,116295.15,115330.54,116286.39,113385.24,116128.8,114787.4,115796.73,115653.12,55597.4116356
2003-06-09,114242.38,115711.67,114315.9,113990.31,113562.24,114845.64,115341.56,114393.68,113816.83,54546.9721975
2003-06-10,115042.46,115194.4,115171.58,115209.0,116490.68,114941.34,114928.74,115246.49,115185.75,54415.5997893
2003-06-11,116285.6,118016.0,117009.18,117352.58,117355.4,115911.93,116398.8,116466.0,116898.83,54698.3842453
2003-06-12,117623.61,116321.45,116927.72,116308.5,116984.78,117644.32,117752.88,116928.72,117174.96,55356.2820775
2003-06-13,115864.32,115896.18,116361.28,115735.25,114597.0,115665.16,115580.08,115860.96,115551.68,55175.3435003
2003-06-16,118352.6,117747.0,118254.5,118006.2,118490.84,117869.75,117640.25,118544.04,118076.2,55043.0856549
2003-06-17,118768.56,117131.28,118228.2,118240.2,117944.55,117648.0,118051.8,118494.85,117964.08,55930.8735422
2003-06-18,116920.01,116959.04,117731.7,117474.76,119343.18,117951.03,118413.75,117173.49,117525.06,55646.9744348
2003-06-19,116927.97,118170.72,115539.45,116197.38,115956.94,116390.18,117477.36,115709.36,115678.08,55956.4183899
2003-06-20,115678.65,116088.6,116257.05,116043.96,116332.8,116241.41,115644.2,117296.8,115926.92,55216.3591483
2003-06-23,114885.0,115317.4,114542.81,114615.54,113451.99,115247.98,114563.76,114840.92,114595.52,54633.1916779
2003-06-24,115307.75,114638.16,114948.0,114880.8,114224.64,115554.6,114773.76,114748.92,114541.44,54476.0666641
2003-06-25,114344.28,114826.4,113615.04,113529.3,113312.49,113520.95,114759.15,114160.72,114240.0,54636.7423519
2003-06-26,115896.8,113531.46,114906.4,115693.82,115788.88,115185.84,114443.6,115782.76,115035.84,54102.3271463
2003-06-27,114360.36,114756.4,114280.32,114387.3,114036.32,114298.14,113675.18,113976.72,113925.44,54239.2139869
2003-06-30,114885.66,113636.25,113764.7,114211.39,113080.88,114670.08,114094.96,113683.08,114428.16,54305.4428087
2003-07-01,113843.4,114166.53,115108.56,114645.96,115393.46,115108.46,113240.96,114981.51,114201.75,53712.8014928
2003-07-02,115798.2,114744.0,115463.65,115492.5,115985.88,115215.3,115142.39,116132.77,115347.46,54483.6443655
2003-07-03,114760.8,115872.0,114962.79,114962.72,113826.35,114900.66,114708.0,114838.79,115104.0,54577.6738079
2003-07-07,117128.13,115576.32,116454.04,116552.52,116859.7,115829.97,115693.5,115743.2,116509.8,54970.3584889
2003-07-08,116098.72,116211.53,117015.3,116402.4,117570.06,116291.7,115911.0,116130.6,117214.02,54953.9517362
2003-07-09,116739.99,116760.0,116153.01,115497.6,115779.24,115327.52,115931.4,115645.89,115424.64,55167.0955334
2003-07-10,114467.94,114063.0,114317.13,113814.4,113898.68,114932.16,114786.88,114983.4,114344.28,54487.4678703
2003-07-11,114871.68,115375.26,115767.05,114756.73,115401.88,115202.5,115679.85,116020.45,115994.51,54543.2535275
2003-07-14,115863.3,115139.5,116331.84,114892.25,115133.44,115584.21,116157.54,115251.42,115775.56,55095.7515973
2003-07-15,114842.52,114660.36,114944.2,114089.31,114953.28,116337.04,114516.96,115204.72,114963.75,54928.8166837
2003-07-16,114136.68,114153.68,114304.25,114550.28,114337.52,114411.7,113203.3,114279.3,114550.38,54448.7641321
2003-07-17,113812.14,115099.18,112782.15,113685.4,112589.3,113030.32,114793.35,113373.6,112352.3,54058.0106206
2003-07-18,115500.0,115093.44,115078.61,115934.55,113917.05,114610.82,114892.64,115061.62,114083.9,54044.5590937
2003-07-21,113846.64,113589.41,113308.48,113512.5,112915.6,113809.85,113245.04,114160.32,113789.08,54209.0952297
2003-07-22,115897.54,113654.54,114707.19,114833.98,114558.55,114999.5,115460.82,114078.86,115062.12,53908.3750459
2003-07-23,114789.6,114082.48,114693.95,114710.4,114978.08,114307.76,113986.95,115519.04,114696.4,54064.9228747
2003-07-24,114680.05,113986.98,114059.54,114453.4,112813.58,114378.93,114633.3,113942.16,114725.28,54681.85697
2003-07-25,116221.05,115275.6,116569.6,116610.84,116772.0,115553.76,115206.0,115593.0,115634.25,54251.867463
2003-07-28,115844.5,115693.47,115817.7,115828.16,115765.5,114807.99,115800.9,115560.9,115910.84,54657.4065966
2003-07-29,115936.6,114402.0,114463.58,114371.46,114870.03,114520.0,114989.64,115014.84,114802.53,54567.0991659
2003-07-30,115008.4,114700.44,115014.6,114989.64,114231.8,115187.0,114070.6,115085.52,114249.5,54450.0084195
2003-07-31,116316.72,115953.6,115027.44,115626.87,114919.15,115183.86,115454.15,115328.88,115298.61,54724.309138
2003-08-01,114744.05,115283.48,113718.24,114199.2,114165.2,114278.62,114639.52,114305.24,114759.84,54313.4038288
2003-08-04,115092.02,113652.7,115287.6,114586.0,114595.74,114677.31,114031.95,114598.5,114459.75,53879.0255523
2003-08-05,112861.1,113361.6,112914.4,112891.73,111706.14,113598.42,112397.73,112400.3,112657.2,54219.1512014
2003-08-06,113039.46,114028.0,113361.6,113233.69,112237.74,113711.13,113724.52,112992.34,112926.16,53447.4309264
2003-08-07,114013.5,115832.38,114408.0,114049.62,113363.7,114101.28,113586.2,114978.4,113344.08,53675.8498023
2003-08-08,115544.0,115147.8,114522.36,114892.48,113442.23,114783.84,114758.4,113977.35,114564.12,54304.4122442
2003-08-11,115599.12,114504.84,114422.56,115516.8,114589.72,114713.95,114074.94,114809.77,115478.4,54487.1415826
2003-08-12,115839.6,115269.01,115755.39,116648.74,116318.96,115462.35,116273.36,115360.65,116830.69,54480.6284861
2003-08-13,115735.24,115679.78,114926.1,115207.76,115719.7,115149.16,115078.88,115171.66,115326.06,54894.3241193
2003-08-14,116826.9,115167.8,116533.8,116743.32,116339.15,115811.85,115460.8,115850.24,116816.0,54653.1564116
2003-08-15,116084.07,116712.9,116465.74,116020.09,116346.88,116337.0,115778.52,116032.23,116363.52,54965.5755199
2003-08-18,117652.59,116519.72,116468.52,117922.6,118485.47,116847.06,116742.27,116667.96,117155.16,55276.7221065
2003-08-19,118076.64,116789.44,117303.0,117844.08,118396.08,116666.55,117290.34,116837.28,116910.02,55497.2000071
2003-08-20,117182.7,117709.44,117033.89,117062.2,117706.64,117076.44,117703.74,117094.38,117495.84,55357.0283134
2003-08-21,117057.18,118652.91,116942.35,118360.49,117313.6,118495.2,117761.05,117793.8,118043.31,55930.8656115
2003-08-22,116207.07,116306.6,115756.05,116277.25,115415.85,117228.04,116840.08,117152.64,116568.64,55990.3823451
2003-08-25,116887.2,116282.47,116951.28,116064.86,116043.45,116890.69,116592.0,116352.35,116030.0,55009.8098393
2003-08-26,117110.25,116813.58,116831.22,116750.43,117357.9,116758.72,116531.1,116727.8,116837.49,55144.8767043
2003-08-27,117760.24,116739.5,116668.5,117508.95,117585.72,116790.0,116607.7,116839.8,117001.53,55251.4130981
2003-08-28,118616.55,118864.38,117608.4,117844.08,117595.24,117338.1,117487.92,116979.58,117493.65,55450.2681168
2003-08-29,117949.26,118270.7,118117.8,117650.88,118235.04,117485.25,118392.08,118012.44,118581.0,55705.9411056
2003-09-02,119458.5,119629.44,119530.7,119364.48,119961.4,119459.7,120407.04,120090.96,119465.84,56088.7725322
2003-09-03,119975.08,119752.15,120166.28,120294.52,119761.6,119872.75,120063.96,119890.06,120028.76,56875.4769489
2003-09-04,120062.16,119708.25,119422.95,120024.72,120086.56,119970.9,119694.24,120667.8,120720.6,56854.9648038
2003-09-05,120172.64,119844.4,118839.96,119506.8,118945.52,119138.25,119509.56,119046.16,119095.2,56659.3828229
2003-09-08,120524.64,121118.48,119742.56,119975.15,120421.95,120560.63,120231.84,120675.45,120537.6,56816.7685007
2003-09-09,120056.28,119168.47,119927.53,119228.55,119255.68,119413.35,119284.75,119676.24,119079.36,56778.0537576
2003-09-10,117562.85,118138.2,118129.59,118419.07,116999.4,118466.85,119119.0,118750.04,117998.98,56478.6531955
2003-09-11,118993.4,118215.18,118389.4,119242.78,119246.08,119047.4,118201.75,118687.68,119073.0,56228.7485079
2003-09-12,120373.2,118384.66,118703.04,119241.36,119561.88,118899.09,119161.6,118731.06,119308.4,55878.7869277
2003-09-15,118479.26,118438.44,118840.8,119390.04,118227.24,119319.05,118802.54,119010.2,118474.5,56375.8976071
2003-09-16,119467.66,119120.56,119896.92,120072.4,120933.8,119912.6,119993.06,119955.0,120432.0,56533.9210987
2003-09-17,119005.25,118566.5,119660.25,119240.1,119512.54,119956.5,119943.45,119840.31,119513.94,56902.6496734
2003-09-18,120284.16,121000.0,121756.8,121031.98,121460.64,120314.08,120132.53,119438.33,121026.9,56729.8637368
2003-09-19,120225.0,121031.75,120140.02,119804.0,120355.5,119910.9,120129.48,119852.77,119835.72,56837.4679077
2003-09-22,118387.64,118380.1,119073.88,118955.2,118997.19,119049.84,118618.92,118513.2,118380.45,56367.2004327
2003-09-23,120120.04,119334.25,119561.9,119230.61,119737.2,119600.74,119069.04,118903.16,119031.66,56325.6473135
2003-09-24,117502.25,118122.29,117136.17,117243.9,115735.76,118435.84,118170.88,117780.31,117385.5,56465.3016626
2003-09-25,116091.9,116692.8,116866.4,117247.2,116668.53,117235.8,116949.87,117487.7,116926.8,55771.9325124
2003-09-26,116147.86,116515.17,116198.21,116047.49,115294.4,116541.1,118145.82,116968.86,115800.48,55173.4141416
2003-09-29,117855.72,117116.48,117478.4,117126.82,117454.7,116581.92,117646.8,117292.12,116768.73,55329.5451661
2003-09-30,116980.16,117003.25,116682.72,116100.65,115694.12,116392.96,116669.28,116523.9,115931.85,55117.9199184
2003-10-01,118388.16,118681.6,119282.95,118655.0,118730.08,118574.39,117256.9,118222.56,119113.02,55457.1190911
2003-10-02,119268.24,119459.84,118551.81,118846.66,118662.24,118388.18,119334.6,118987.5,119344.61,56145.1271797
2003-10-03,120436.86,120511.3,119351.7,119728.8,120748.8,119908.35,119543.55,118801.28,120022.46,57035.1725931
2003-10-06,120474.12,120543.6,120252.0,120091.91,120339.92,120394.6,120267.15,119511.54,120839.28,56832.8162258
2003-10-07,120506.88,120879.77,121045.32,120733.8,121188.96,120354.69,120082.87,120217.68,121164.12,56705.6760984
2003-10-08,120101.66,120280.0,120677.38,120358.8,119756.5,120430.71,119603.61,120478.01,119972.71,57191.4237412
2003-10-09,120836.31,120732.48,120649.74,121132.92,120000.96,120162.0,120676.38,120537.05,120974.32,57362.8926515
2003-10-10,120563.64,120915.62,120740.42,120555.16,121187.08,120520.0,120538.32,120549.0,120405.36,57238.4607518
2003-10-13,121526.2,121775.0,121941.26,121078.8,120814.4,121342.13,121616.78,120805.02,121546.68,57467.3790434
2003-10-14,121365.09,121761.0,121875.12,122637.24,122143.65,121912.08,121657.3,121314.9,121844.52,57393.7776559
2003-10-15,121446.03,120295.08,121877.28,121902.4,121108.19,121739.4,120965.88,121225.32,121443.3,57869.3650857
2003-10-16,121748.13,121768.0,121469.1,121703.78,122066.8,122187.42,121704.0,121758.89,122004.7,57396.8401457
2003-10-17,120297.95,121228.8,120682.36,120642.48,120365.16,121037.5,120929.52,120185.0,120433.95,57510.8735369
2003-10-20,120883.36,121253.5,120682.36,120819.6,121790.7,121221.36,120944.85,120983.63,120781.18,57385.6511261
2003-10-21,121260.51,121326.4,121309.44,120961.68,121425.2,120943.53,121054.25,121791.6,121445.87,57438.7621508
2003-10-22,120140.27,119827.29,119828.1,119636.22,119662.62,119761.46,119628.15,119547.47,120017.8,56898.9782463
2003-10-23,119681.84,120754.14,120650.88,119502.84,119815.2,119761.46,120143.16,120593.49,119698.14,56773.6735621
2003-10-24,119518.62,119751.68,119446.36,120418.35,119165.86,119605.2,119771.1,120304.8,119908.98,56588.4583029
2003-10-27,120492.96,119937.44,119286.28,120348.12,120021.62,119924.2,120021.42,119493.68,120639.82,57001.5147901
2003-10-28,121399.59,120697.01,121122.27,121407.92,122186.4,121349.59,120439.56,121054.8,122213.35,57085.0115331
2003-10-29,122920.72,120035.42,121787.93,122109.6,121656.08,121860.2,121315.67,121270.56,121330.43,57403.9716091
2003-10-30,122456.35,121414.98,121562.7,121894.53,121378.05,121624.4,122223.66,120700.48,122065.94,57642.0890414
2003-10-31,121890.0,123852.28,122455.19,122265.12,122052.35,122971.04,122223.15,122668.0,122393.65,58179.2125149
2003-11-03,123034.6,122051.84,123817.14,123130.5,123992.46,123479.66,123676.2,122345.44,123563.4,58395.2948944
2003-11-04,123116.24,122859.0,122731.14,123030.04,122565.96,122624.1,122245.2,122466.96,122639.66,58070.7460396
2003-11-05,122462.37,122725.18,122751.78,122483.1,123234.87,122855.52,122850.96,121674.61,122577.81,58130.2739917
2003-11-06,123300.1,122802.75,123182.62,123197.66,123578.07,123135.6,122433.08,122957.75,123412.77,57911.7329499
2003-11-07,123380.57,123011.01,121977.1,123004.08,122405.25,123007.2,122942.97,121936.8,123221.32,58262.5384708
2003-11-10,121013.16,122493.56,122519.08,121795.59,120956.48,122289.76,122138.88,121988.09,121852.75,58124.1840312
2003-11-11,121417.73,122152.96,121734.08,121524.32,121894.5,121858.8,121968.0,122454.45,121650.0,57716.481036
2003-11-12,123530.4,122931.69,122861.76,123525.0,123721.92,123202.0,122416.0,123862.8,123018.0,57926.9371653
2003-11-13,123410.7,123556.28,123080.1,123099.22,122578.68,123004.41,122550.39,124567.94,123446.91,58298.3367148
2003-11-14,122117.8,123809.46,122280.41,122660.44,121534.36,122966.1,123099.37,123667.8,122037.82,58665.6937262
2003-11-17,121627.8,121714.05,122068.1,121991.4,121297.32,122531.96,121435.2,122763.48,121319.0,57774.8514299
2003-11-18,121904.04,121909.2,120811.53,121130.34,119827.2,121647.12,119842.62,121064.16,120111.52,58020.1841929
2003-11-19,121823.2,121606.83,122071.92,121889.25,122345.94,121624.4,121485.6,121890.51,122068.8,57304.4005998
2003-11-20,121539.6,121126.6,120621.6,120710.31,120166.25,121037.5,121727.16,120289.86,121298.1,57417.2944447
2003-11-21,121077.06,120229.0,121147.65,121030.38,121285.38,120945.2,121235.4,120445.0,121687.5,57420.5640256
2003-11-24,122795.82,122211.1,122299.2,122426.01,123588.55,122671.65,122848.11,122760.56,123308.82,57725.8363554
2003-11-25,123828.96,123194.52,123215.4,123481.38,122529.0,123172.8,123459.6,122994.45,123950.4,58301.2960614
2003-11-26,123830.0,124085.58,123945.16,123506.57,123203.79,123385.83,124031.25,124111.8,123757.75,58503.3759591
2003-11-28,123781.2,123965.02,123684.4,123653.66,124477.32,124319.65,123588.3,123609.2,123534.84,58628.787686
2003-12-01,126680.58,125009.04,125208.74,125320.68,124968.7,124667.4,125226.16,125178.15,125113.3,58911.1920145
2003-12-02,125198.46,125694.5,124578.85,125248.16,124622.28,124307.22,125208.0,125305.72,124528.95,59218.7986903
2003-12-03,125937.76,124542.0,125251.11,124860.6,124206.26,125046.33,124915.92,124849.45,124788.42,59470.2712743
2003-12-04,125939.49,127991.34,125426.12,124760.65,126126.93,125511.36,125419.87,125151.2,124608.06,59261.4255884
2003-12-05,124729.0,125512.76,124497.4,124705.0,124334.1,125105.76,125952.92,124874.82,125125.44,59288.4371681
